"愛(あい)","ความรัก, ความเสน่หา"
"マスター","เชี่ยวชาญ; ผู้จัดการ"
"益々(ますます)","ยิ่งขึ้น, มากขึ้น"
"先ず(まず)","ก่อนอื่น, อย่างแรก"
"貧しい(まずしい)","ยากจน, ขัดสน"
"又(また)","อีกครั้ง; ด้วย"
"未だ(まだ)","ยัง; ยังไม่"
"町(まち)","เมือง, ย่าน"
"間違い(まちがい)","ความผิดพลาด; อุบัติเหตุ"
"真っ赤(まっか)","แดงสด; สิ้นเชิง"
"真っ直ぐ(まっすぐ)","ตรงไป, ตรง"
"全く(まったく)","ทั้งหมด, โดยสิ้นเชิง"
"松(まつ)","ต้นสน"
"祭り(まつり)","เทศกาล, งานเทศกาล"
"学ぶ(まなぶ)","เรียน, ศึกษา"
"真似(まね)","การเลียนแบบ, การทำตาม"
"招く(まねく)","เชิญ, โบกมือ"
"ママ","แม่"
"豆(まめ)","ถั่ว; เล็กน้อย"
"守る(まもる)","ปกป้อง, รักษา; ปฏิบัติตาม"
"丸(まる)","วงกลม; ทั้งหมด; เงิน"
"丸い(まるい)","กลม; นุ่มนวล"
"丸で(まるで)","เหมือนกับ; ทั้งหมด"
"回す(まわす)","หมุน, ส่งผ่าน"
"回り(まわり)","การหมุน; การแพร่กระจาย"
"万一(まんいち)","เหตุฉุกเฉิน; อาจจะ"
"満足(まんぞく)","ความพอใจ, ความสมบูรณ์"
"マーケット","ตลาด"
"実(み)","ผล, เนื้อ; สาระ"
"身(み)","ตัวเอง; ร่างกาย"
"見送り(みおくり)","การส่งตัว; การเลื่อน"
"味方(みかた)","พรรคพวก, ผู้สนับสนุน"
"見事(みごと)","ยอดเยี่ยม, งดงาม"
"ミス","ความผิดพลาด"
"満ちる(みちる)","เต็ม, เต็มไปด้วย"
"密(みつ)","หนาแน่น; สนิท"
"認める(みとめる)","รับรู้, ยอมรับ"
"皆(みな)","ทุกคน, ทั้งหมด"
"見舞い(みまい)","การเยี่ยมไข้; ของเยี่ยม"
"土産(みやげ)","ของฝาก"
"都(みやこ)","เมืองหลวง"
"妙(みょう)","แปลก, พิกล; ยอดเยี่ยม"
"未来(みらい)","อนาคต"
"魅力(みりょく)","เสน่ห์, ความน่าดึงดูด"
"見る(みる)","ดู, มอง; ดูแล"
"ミルク","นม"
"無(む)","ไม่มีอะไร, ศูนย์"
"向い(むかい)","ตรงข้าม, ฝั่งตรงข้าม"
"迎え(むかえ)","การต้อนรับ"
"向く(むく)","หันไปทาง; เหมาะสม"
"向ける(むける)","หันไปทาง, ชี้ไปที่"
"無視(むし)","การเมิน, การเพิกเฉย"
"虫歯(むしば)","ฟันผุ"
"寧ろ(むしろ)","ค่อนข้าง, แทนที่จะ"
"結ぶ(むすぶ)","ผูก, เชื่อมต่อ"
"無駄(むだ)","ความสูญเปล่า, ความเสียดาย"
"夢中(むちゅう)","หมกมุ่น, ลืมตัว"
"胸(むね)","หน้าอก; ความรู้สึก"
"無料(むりょう)","ฟรี, ไม่มีค่าใช้จ่าย"
"芽(め)","หน่อ, ยอดอ่อน"
"明確(めいかく)","ชัดเจน, แม่นยำ"
"命じる(めいじる)","สั่งการ, บัญชา"
"名人(めいじん)","ปรมาจารย์, ผู้เชี่ยวชาญ"
"命令(めいれい)","คำสั่ง"
"迷惑(めいわく)","ความรำคาญ, ความลำบาก"
"飯(めし)","ข้าวสวย; มื้ออาหาร"
"滅多に(めったに)","แทบไม่, ไม่ค่อย"
"メモ","บันทึก, โน้ต"
"面(めん)","หน้า; พื้นผิว; หน้ากาก"
"綿(めん)","ฝ้าย"
"免許(めんきょ)","ใบอนุญาต"
"面倒(めんどう)","ความยุ่งยาก; การดูแล"
"メンバー","สมาชิก"
"申し込む(もうしこむ)","สมัคร, ยื่น"
"申し訳(もうしわけ)","การขอโทษ, ข้อแก้ตัว"
"毛布(もうふ)","ผ้าห่ม"
"燃える(もえる)","ลุกไหม้; กระตือรือร้น"
"目的(もくてき)","วัตถุประสงค์, เป้าหมาย"
"目標(もくひょう)","เป้าหมาย, จุดมุ่งหมาย"
"木曜(もくよう)","วันพฤหัสบดี"
"若しも(もしも)","ถ้า, หากว่า"
"文字(もじ)","ตัวอักษร, การเขียน"
"持ち上げる(もちあげる)","ยก, ยกย่อง"
"用いる(もちいる)","ใช้, นำไปใช้"
"勿論(もちろん)","แน่นอน, ไม่ต้องสงสัย"
"最も(もっとも)","ที่สุด, มากที่สุด"
"尤も(もっとも)","แต่ว่า; สมเหตุสมผล"
"元(もと)","ต้นกำเนิด; พื้นฐาน; ทุน"
"基づく(もとづく)","อ้างอิง, ยึดตาม"
"求める(もとめる)","ต้องการ, ขอ; ซื้อ"
"戻す(もどす)","คืน, ส่งกลับ"
"者(もの)","บุคคล, คน"
"物音(ものおと)","เสียงรบกวน"
"物語(ものがたり)","เรื่องราว, นิทาน"
"物事(ものごと)","สิ่งของ, ทุกสิ่ง"
"模様(もよう)","ลวดลาย, รูปแบบ; สภาพ"
"貰う(もらう)","รับ, ได้รับ"
"文句(もんく)","การบ่น, คำฟ้อง; วลี"
"軈て(やがて)","ในไม่ช้า, เร็วๆ นี้"
"訳(やく)","การแปล"
"約(やく)","ประมาณ; สัญญา"
"役(やく)","บทบาท, ตำแหน่ง"
"役割(やくわり)","บทบาท, หน้าที่"
"家賃(やちん)","ค่าเช่า"
"厄介(やっかい)","ความยุ่งยาก, ภาระ"
"雇う(やとう)","จ้าง, ว่าจ้าง"
"宿(やど)","ที่พัก, โรงแรม"
"屋根(やね)","หลังคา"
"矢張り(やはり)","ก็อย่างนั้น; ถึงกระนั้น"
"破る(やぶる)","ฉีก, ทำลาย; เอาชนะ"
"辞める(やめる)","ลาออก, ลาพัก"
"稍(やや)","เล็กน้อย, บ้าง"
"唯一(ゆいいつ)","เพียงหนึ่งเดียว"
"勇気(ゆうき)","ความกล้าหาญ"
"有効(ゆうこう)","ถูกต้อง, มีผล"
"優秀(ゆうしゅう)","เยี่ยม, โดดเด่น"
"優勝(ゆうしょう)","การชนะเลิศ, แชมป์"
"友情(ゆうじょう)","มิตรภาพ, ความเป็นเพื่อน"
"友人(ゆうじん)","เพื่อน"
"有能(ゆうのう)","มีความสามารถ, เก่งกาจ"
"郵便(ゆうびん)","ไปรษณีย์"
"夕べ(ゆうべ)","เมื่อคืน; ตอนเย็น"
"有利(ゆうり)","ได้เปรียบ, มีประโยชน์"
"床(ゆか)","พื้น"
"愉快(ゆかい)","สนุกสนาน, ยินดี"
"輸出(ゆしゅつ)","การส่งออก"
"譲る(ゆずる)","ยอมให้; โอน; ยกให้"
"豊か(ゆたか)","อุดมสมบูรณ์; ร่ำรวย"
"ゆっくり","ช้าๆ, ผ่อนคลาย"
"輸入(ゆにゅう)","การนำเข้า"
"許す(ゆるす)","อนุญาต; ให้อภัย"
"ユーモア","อารมณ์ขัน"
"夜明け(よあけ)","รุ่งอรุณ, รุ่งเช้า"
"良い(よい)","ดี, เยี่ยม"
"酔う(よう)","เมา; เวียนหัว"
"様(よう)","ดูเหมือน; วิธี"
"容易(ようい)","ง่าย, เรียบง่าย"
"陽気(ようき)","ร่าเริง; สภาพอากาศ"
"要求(ようきゅう)","ความต้องการ, คำขอ"
"用心(ようじん)","ความระมัดระวัง"
"様子(ようす)","สภาพ, สถานการณ์; ท่าทาง"
"要するに(ようするに)","โดยสรุป, กล่าวโดยย่อ"
"要素(ようそ)","ส่วนประกอบ, ปัจจัย"
"要点(ようてん)","ประเด็นสำคัญ"
"曜日(ようび)","วันในสัปดาห์"
"予期(よき)","ความคาดหวัง, การคาดการณ์"
"横切る(よこぎる)","ข้าม, ตัดผ่าน"
"予算(よさん)","งบประมาณ"
"止す(よす)","หยุด, เลิก"
"予測(よそく)","การทำนาย, การประมาณ"
"ヨット","เรือใบ"
"夜中(よなか)","ดึกดื่น, กลางดึก"
"世の中(よのなか)","สังคม, โลก"
"余分(よぶん)","ส่วนเกิน, ส่วนที่เหลือ"
"予報(よほう)","การพยากรณ์"
"予防(よぼう)","การป้องกัน, การระวัง"
"読み(よみ)","การอ่าน; ความเข้าใจ"
"嫁(よめ)","เจ้าสาว; ลูกสะใภ้"
"余裕(よゆう)","ความรอบคอบ; ความสบายใจ"
"縒り(より)","การบิด, เกลียว"
"夜(よる)","กลางคืน"
"喜び(よろこび)","ความยินดี, ความปลาบปลื้ม"
"宜しい(よろしい)","ดี, โอเค"
"宜しく(よろしく)","โปรด; ฝากเนื้อฝากตัว"
"欧羅巴(ヨーロッパ)","ยุโรป"
"来(らい)","ต่อมา, ครั้งหน้า"
"ライター","ไฟแช็ก"
"楽(らく)","ความสบาย, ง่าย"
"ラケット","แร็กเก็ต"
"利益(りえき)","กำไร, ผลประโยชน์"
"理解(りかい)","ความเข้าใจ"
"陸(りく)","บก, ชายฝั่ง"
"利口(りこう)","ฉลาด, เฉลียว"
"離婚(りこん)","การหย่าร้าง"
"理想(りそう)","อุดมคติ"
"立派(りっぱ)","ยอดเยี่ยม, สง่างาม"
"率(りつ)","อัตรา, สัดส่วน"
"留学(りゅうがく)","การไปเรียนต่างประเทศ"
"流行(りゅうこう)","แฟชั่น, กระแส"
"量(りょう)","ปริมาณ, จำนวน"
"両替(りょうがえ)","การแลกเปลี่ยนเงิน"
"料金(りょうきん)","ค่าธรรมเนียม, ค่าบริการ"
"礼(れい)","ความขอบคุณ; มารยาท"
"例(れい)","ตัวอย่าง; บรรทัดฐาน"
"礼儀(れいぎ)","มารยาท, วัฒนธรรม"
"冷静(れいせい)","ความสงบ, การมีสติ"
"列車(れっしゃ)","รถไฟ"
"列(れつ)","แถว, คิว"
"レポート","รายงาน"
"練習(れんしゅう)","การฝึกซ้อม, การฝึก"
"連想(れんそう)","การเชื่อมโยง, ความคิดที่เกี่ยวข้อง"
"連続(れんぞく)","ความต่อเนื่อง, ต่อเนื่อง"
"老人(ろうじん)","ผู้สูงอายุ, คนชรา"
"労働(ろうどう)","แรงงาน, การทำงาน"
"ロケット","จรวด; จี้"
"論じる(ろんじる)","อภิปราย, ถกเถียง"
"論争(ろんそう)","การโต้เถียง, การถกเถียง"
"論文(ろんぶん)","วิทยานิพนธ์, บทความ"
"輪(わ)","วงแหวน; วงล้อ"
"羽(わ)","ตัวนับนก, กระต่าย"
"ワイン","ไวน์"
"別れ(わかれ)","การอำลา, การพลัดพราก"
"我儘(わがまま)","เห็นแก่ตัว"
"脇(わき)","รักแร้; ด้านข้าง"
"分ける(わける)","แบ่ง, แยก"
"態と(わざと)","โดยตั้งใจ"
"僅か(わずか)","เล็กน้อย, เพียงเล็กน้อย"
"綿(わた)","ฝ้าย; ไส้นวม"
"話題(わだい)","หัวข้อสนทนา"
"笑い(わらい)","การหัวเราะ; รอยยิ้ม"
"割る(わる)","หาร; แบ่ง; ทำลาย"
"悪口(わるぐち)","การด่าทอ, การว่าร้าย"
"我々(われわれ)","เรา"
"湾(わん)","อ่าว"
